project_id,employee_id,project_name,client,role,tools_used,experience_summary
PRJ_0091,ID_0027,Security Compliance Audit,Initech,Security Analyst,PCI DSS,Conducted compliance audit for payment systems
PRJ_0092,ID_0091,Cloud Migration Planning,Stark Industries,Cloud Engineer,Azure Migrate,Planned migration to cloud infrastructure
PRJ_0093,ID_0031,Project Scheduling,Wayne Enterprises,Project Manager,Smartsheet,Developed detailed project schedules
PRJ_0094,ID_0043,SEO Content Strategy,Oscorp,SEO Specialist,Contentful,Developed content strategy for SEO improvement
PRJ_0095,ID_0051,Database Security,Wonka Industries,Database Administrator,Encryption,Implemented database encryption and access controls
PRJ_0096,ID_0032,Mobile App Beta Testing,Tyrell Corp,QA Engineer,TestFlight,Managed beta testing program
PRJ_0097,ID_0052,API Gateway Setup,Acme Corp,Backend Developer,Kong,Configured API gateway for microservices
PRJ_0098,ID_0039,Network Performance Tuning,Globex Inc,Network Engineer,NetFlow,Optimized network throughput and latency
PRJ_0099,ID_0089,Cloud Security Monitoring,Initech,Security Analyst,Cloud Security Posture Management,Monitored cloud security posture
PRJ_0100,ID_0051,Data Science Model Development,Stark Industries,Data Scientist,Scikit-learn,Developed predictive models for business insights
