certification_id,certificate_name,employee_id,issued_by,validity
ID_CERT_058,Certified Ethical Hacker,ID_0017,EC-Council,2027-05-02T00:00:00
ID_CERT_059,Project Management Professional,ID_0047,PMI,2026-10-25T00:00:00
ID_CERT_060,Certified Scrum Product Owner,ID_0004,Scrum Alliance,2025-03-08T00:00:00
ID_CERT_061,Google Cloud Certified - Associate Cloud Engineer,ID_0027,Google,2027-01-29T00:00:00
ID_CERT_062,Microsoft Certified: Azure Fundamentals,ID_0060,Microsoft,2026-06-13T00:00:00
ID_CERT_063,CompTIA Security+,ID_0077,CompTIA,2025-12-22T00:00:00
ID_CERT_064,Amazon Web Services Certified Solutions Architect,ID_0027,AWS,2027-04-04T00:00:00
ID_CERT_065,ITIL Foundation,ID_0006,AXELOS,2026-09-15T00:00:00
ID_CERT_066,Certified Data Professional,ID_0007,ICC,2025-07-27T00:00:00
ID_CERT_067,Oracle Certified Professional,ID_0072,Oracle,2027-02-10T00:00:00
ID_CERT_068,Certified Business Analysis Professional,ID_0076,IIBA,2026-11-23T00:00:00
ID_CERT_069,Google Analytics Individual Qualification,ID_0054,Google,2025-05-19T00:00:00
ID_CERT_070,Certified Kubernetes Administrator,ID_0024,CNCF,2027-08-01T00:00:00
ID_CERT_071,Salesforce Certified Administrator,ID_0027,Salesforce,2026-03-16T00:00:00
ID_CERT_072,Certified Information Security Manager,ID_0045,ISACA,2025-10-30T00:00:00
ID_CERT_073,Adobe Certified Expert,ID_0066,Adobe,2026-07-12T00:00:00
ID_CERT_074,Certified Network Professional,ID_0039,Cisco,2027-01-24T00:00:00
ID_CERT_075,Google Cloud Certified - Professional Data Engineer,ID_0013,Google,2025-09-06T00:00:00
ID_CERT_076,Microsoft Certified: Azure Solutions Architect Expert,ID_0047,Microsoft,2026-05-18T00:00:00
ID_CERT_077,Certified Six Sigma Green Belt,ID_0001,ASQ,2027-03-03T00:00:00
ID_CERT_078,Certified Information Privacy Professional,ID_0053,IAPP,2025-12-11T00:00:00
ID_CERT_079,Certified Software Development Professional,ID_0023,IEEE,2026-08-22T00:00:00
ID_CERT_080,Certified Database Administrator,ID_0018,Oracle,2027-06-05T00:00:00
ID_CERT_081,Google Cloud Certified - Professional Cloud Architect,ID_0062,Google,2025-11-17T00:00:00
ID_CERT_082,Certified Agile Leadership,ID_0036,Scrum Alliance,2026-02-26T00:00:00
ID_CERT_083,Microsoft Certified: Power Platform Fundamentals,ID_0021,Microsoft,2027-07-09T00:00:00
ID_CERT_084,Certified DevOps Engineer,ID_0042,AWS,2025-10-01T00:00:00
ID_CERT_085,Certified Information Systems Auditor,ID_0007,ISACA,2026-04-14T00:00:00
ID_CERT_086,Certified Ethical Hacker,ID_0036,EC-Council,2027-01-27T00:00:00
ID_CERT_087,Project Management Professional,ID_0058,PMI,2025-08-08T00:00:00
ID_CERT_088,Certified Scrum Product Owner,ID_0001,Scrum Alliance,2026-12-20T00:00:00
ID_CERT_089,Google Cloud Certified - Associate Cloud Engineer,ID_0093,Google,2027-05-03T00:00:00
ID_CERT_090,Microsoft Certified: Azure Fundamentals,ID_0022,Microsoft,2026-09-15T00:00:00
ID_CERT_091,CompTIA Security+,ID_0053,CompTIA,2025-06-28T00:00:00
ID_CERT_092,Amazon Web Services Certified Solutions Architect,ID_0090,AWS,2027-02-09T00:00:00
ID_CERT_093,ITIL Foundation,ID_0054,AXELOS,2026-11-21T00:00:00
ID_CERT_094,Certified Data Professional,ID_0029,ICC,2025-09-02T00:00:00
ID_CERT_095,Oracle Certified Professional,ID_0023,Oracle,2027-04-17T00:00:00
ID_CERT_096,Certified Business Analysis Professional,ID_0039,IIBA,2026-08-29T00:00:00
ID_CERT_097,Google Analytics Individual Qualification,ID_0016,Google,2025-12-10T00:00:00
ID_CERT_098,Certified Kubernetes Administrator,ID_0024,CNCF,2027-06-22T00:00:00
ID_CERT_099,Salesforce Certified Administrator,ID_0066,Salesforce,2026-01-04T00:00:00
ID_CERT_100,Certified Information Security Manager,ID_0092,ISACA,2025-07-16T00:00:00
